fecha_hora,id_sesion,tipo_sesion,ear,mar,estado_cabeza,mirando_abajo,parpadeos_total,parpadeos_por_minuto,cabeceos_total,cabeza_abajo_sostenida,bostezos,microsuenos,perclos
2026-05-07 18:17:42.995,20260507_181554,normal,0.2936,0.0172,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:43.533,20260507_181554,normal,0.2795,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:44.059,20260507_181554,normal,0.2782,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:44.590,20260507_181554,normal,0.2725,0.0172,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:45.119,20260507_181554,normal,0.2611,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:45.646,20260507_181554,normal,0.2661,0.0175,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:46.169,20260507_181554,normal,0.2695,0.0172,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:46.695,20260507_181554,normal,0.2543,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:47.221,20260507_181554,normal,0.254,0.0172,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:47.750,20260507_181554,normal,0.2562,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:48.261,20260507_181554,normal,0.2614,0.0172,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:48.793,20260507_181554,normal,0.2579,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:49.322,20260507_181554,normal,0.2623,0.0178,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:49.853,20260507_181554,normal,0.2532,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:50.382,20260507_181554,normal,0.2695,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:50.912,20260507_181554,normal,0.2689,0.0,frente,0,2,1,0,0,0,0,0.0
2026-05-07 18:17:51.425,20260507_181554,normal,0.2595,0.0,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:51.956,20260507_181554,normal,0.2644,0.0,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:52.483,20260507_181554,normal,0.2691,0.0,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:53.027,20260507_181554,normal,0.2644,0.0,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:53.554,20260507_181554,normal,0.2668,0.0,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:54.083,20260507_181554,normal,0.2762,0.0,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:54.596,20260507_181554,normal,0.2892,0.0178,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:55.122,20260507_181554,normal,0.2879,0.0,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:55.649,20260507_181554,normal,0.2896,0.0,frente,0,3,2,0,0,0,0,0.0267
2026-05-07 18:17:56.160,20260507_181554,normal,0.2572,0.0,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:17:56.685,20260507_181554,normal,0.2619,0.0182,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:17:57.213,20260507_181554,normal,0.2729,0.0182,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:17:57.739,20260507_181554,normal,0.2699,0.0,frente,0,3,2,0,0,0,0,0.0
2026-05-07 18:17:58.266,20260507_181554,normal,0.2745,0.0175,frente,0,3,2,0,0,0,0,0.0
